0x7fca61cd8010,40,29,1.37931,15,.text,0x7fca61ccff10,0
0x7fca61cd8010,40,40,1,0,.text,0x7fca61ccff10,0
0x7fca61cd11e0,39,1,39,0,.text,0x7fca61ccff10,0
0x41096a,38,1,38,0,sendMTFValues,0x40ceee,1479734
0x410547,38,1,38,0,sendMTFValues,0x40ceee,1479734
0x4182b9,37,5,7.4,4,BZ2_hbAssignCodes,0x418294,33896
0x409ea5,33,1,33,0,fallbackSort,0x409c33,2547275
0x7fca61cd5ae8,32,18,1.77778,6,.text,0x7fca61ccff10,0
0x7fca61cd6108,29,4,7.25,3,.text,0x7fca61ccff10,0
0x7fca61cd8010,29,1,29,0,.text,0x7fca61ccff10,0
0x7fca61cd216d,26,1,26,0,.text,0x7fca61ccff10,0
0x7fca61cd4d70,24,4,6,3,.text,0x7fca61ccff10,0
0x410471,24,4,6,0,sendMTFValues,0x40ceee,1479734
0x40d280,24,4,6,0,sendMTFValues,0x40ceee,1479734
0x40d25b,24,4,6,0,sendMTFValues,0x40ceee,1479734
0x7fca61cd4cba,21,20,1.05,2,.text,0x7fca61ccff10,0
0x7fca4cb5a8f0,19,2,9.5,1,readdir,0x7fca4cb5a890,0
0x7fca61cd5900,18,18,1,0,.text,0x7fca61ccff10,0
0x7fca4cb9a178,18,10,1.8,5,get_nprocs_conf,0x7fca4cb9a130,0
0x7fca61cd5900,18,6,3,4,.text,0x7fca61ccff10,0
0x7fca61cd0f4b,18,5,3.6,2,.text,0x7fca61ccff10,0
0x41085e,17,1,17,0,sendMTFValues,0x40ceee,1479734
0x410806,17,1,17,0,sendMTFValues,0x40ceee,1479734
0x410794,17,1,17,0,sendMTFValues,0x40ceee,1479734
0x7fca61cd23f9,12,1,12,0,.text,0x7fca61ccff10,0
0x7fca4cb1208c,11,2,5.5,1,__libc_malloc,0x7fca4cb12020,0
0x7fca4cb9a178,10,4,2.5,1,get_nprocs_conf,0x7fca4cb9a130,0
0x7fca61cd5b10,10,4,2.5,2,.text,0x7fca61ccff10,0
0x7fca61cd1230,9,1,9,0,.text,0x7fca61ccff10,0
0x7fca61cd7718,9,1,9,0,.text,0x7fca61ccff10,0
0x4041bf,8,1,8,0,main,0x4040af,1432
0x40cf7e,7,1,7,0,sendMTFValues,0x40ceee,1479734
0x7fca61cd1f95,7,2,3.5,1,.text,0x7fca61ccff10,0
0x409fa5,7,1,7,0,fallbackSort,0x409c33,2547275
0x40d084,6,1,6,0,sendMTFValues,0x40ceee,1479734
0x7fca61cd5900,6,1,6,0,.text,0x7fca61ccff10,0
0x41051e,6,1,6,0,sendMTFValues,0x40ceee,1479734
0x410a2a,6,1,6,0,sendMTFValues,0x40ceee,1479734
0x4105f5,6,1,6,0,sendMTFValues,0x40ceee,1479734
0x7fca61cd2efc,6,1,6,0,.text,0x7fca61ccff10,0
0x7fca61cd32cb,6,2,3,1,.text,0x7fca61ccff10,0
0x7fca61cd8830,5,2,2.5,1,.text,0x7fca61ccff10,0
0x40d252,5,1,5,0,sendMTFValues,0x40ceee,1479734
0x402d39,5,1,5,0,compress,0x402b73,188
0x7fca61cd0f40,5,1,5,0,.text,0x7fca61ccff10,0
0x7fca4cb12c3e,5,1,5,0,__libc_free,0x7fca4cb12910,0
0x7fca4cb12a70,5,1,5,0,__libc_free,0x7fca4cb12910,0
0x7fca61cd4c7c,4,4,1,0,.text,0x7fca61ccff10,0
0x7fca61cd4c7c,4,4,1,0,.text,0x7fca61ccff10,0
0x7fca61cd5e19,4,4,1,0,.text,0x7fca61ccff10,0
0x7fca61cd4c1f,4,4,1,0,.text,0x7fca61ccff10,0
0x7fca61cd5b10,4,4,1,0,.text,0x7fca61ccff10,0
0x40427a,4,1,4,0,main,0x4040af,1432
0x404452,4,2,2,0,main,0x4040af,1432
0x404402,4,1,4,0,main,0x4040af,1432
0x404622,4,1,4,0,main,0x4040af,1432
0x404a72,4,1,4,0,main,0x4040af,1432
0x7fca4cb9a178,4,2,2,0,get_nprocs_conf,0x7fca4cb9a130,0
0x7fca4cb9a178,4,4,1,0,get_nprocs_conf,0x7fca4cb9a130,0
0x7fca61cd8177,4,1,4,0,.text,0x7fca61ccff10,0
0x404c8b,4,1,4,0,main,0x4040af,1432
0x7fca61ce3810,4,1,4,0,_dl_find_dso_for_object,0x7fca61ce37e0,0
0x7fca61cd86c7,4,3,1.33333,1,.text,0x7fca61ccff10,0
0x7fca4caf9220,4,4,1,0,fclose,0x7fca4caf9200,0
0x7fca61cd8349,4,1,4,0,.text,0x7fca61ccff10,0
0x7fca61cd4d70,4,4,1,0,.text,0x7fca61ccff10,0
0x7fca61cd4d70,4,4,1,0,.text,0x7fca61ccff10,0
0x7fca61cd4d70,4,4,1,0,.text,0x7fca61ccff10,0
0x7fca61cd5e19,4,1,4,0,.text,0x7fca61ccff10,0
0x7fca61cd5e4e,4,2,2,1,.text,0x7fca61ccff10,0
0x7fca61cd2348,4,1,4,0,.text,0x7fca61ccff10,0
0x7fca4ca9ca88,4,1,4,0,_init,0x7fca4ca9ca10,0
0x7fca61cd5e0f,4,1,4,0,.text,0x7fca61ccff10,0
0x40421c,4,1,4,0,main,0x4040af,1432
0x7fca61cd2f60,4,1,4,0,.text,0x7fca61ccff10,0
0x7fca61cd5981,4,1,4,0,.text,0x7fca61ccff10,0
0x7fca61cd6115,4,4,1,0,.text,0x7fca61ccff10,0
0x7fca4cb12d9f,3,1,3,0,__libc_free,0x7fca4cb12910,0
0x7fca4ce7b080,3,2,1.5,1,pthread_key_create,0x7fca4ce7b070,0
0x405ae9,3,3,1,0,handle_compress,0x405ac7,171
0x7fca4cabe56e,3,3,1,0,__cxa_finalize,0x7fca4cabe510,0
0x7fca4cabe678,3,3,1,0,__cxa_finalize,0x7fca4cabe510,0
0x7fca4cb966fa,3,1,3,0,mmap,0x7fca4cb966d0,0
0x403f13,3,2,1.5,1,snocString,0x403eb0,138
0x7fca4cb12b79,3,1,3,0,__libc_free,0x7fca4cb12910,0
0x7fca4cb0749d,3,3,1,0,_IO_file_fopen,0x7fca4cb07450,0
0x7fca61cd7cee,3,1,3,0,.text,0x7fca61ccff10,0
0x7fca4cb07510,3,1,3,0,_IO_file_fopen,0x7fca4cb07450,0
0x40c8d8,3,1,3,0,bsFinishWrite,0x40c8ce,70
0x7fca61cd4c9a,3,3,1,0,.text,0x7fca61ccff10,0
0x7fca61cd4cba,3,1,3,0,.text,0x7fca61ccff10,0
0x7fca4cb12ad0,2,1,2,0,__libc_free,0x7fca4cb12910,0
0x7fca4ce7782a,2,1,2,0,__pthread_mutex_unlock,0x7fca4ce77810,0
0x7fca4cb9a185,2,1,2,0,get_nprocs_conf,0x7fca4cb9a130,0
0x407f89,2,2,1,0,BZ2_bzWrite,0x407e2e,152
0x7fca61cd5b10,2,2,1,0,.text,0x7fca61ccff10,0
0x7fca61cd5e4e,2,1,2,0,.text,0x7fca61ccff10,0
0x7fca61cd7898,2,2,1,0,.text,0x7fca61ccff10,0
0x7fca61cd5e3f,2,2,1,0,.text,0x7fca61ccff10,0
0x7fca61cd7660,2,2,1,0,.text,0x7fca61ccff10,0
0x7fca61cd5e3f,2,2,1,0,.text,0x7fca61ccff10,0
0x7fca61cd32cb,2,2,1,0,.text,0x7fca61ccff10,0
0x40177b,2,1,2,0,compressStream,0x4016ce,151
0x7fca61cd1fb0,2,1,2,0,.text,0x7fca61ccff10,0
0x7fca4ce76076,2,2,1,0,pthread_mutex_lock,0x7fca4ce75fd0,0
0x7fca4cb090d9,2,1,2,0,__uflow,0x7fca4cb09080,0
