#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
  96 CMOVNB                         0               10
  97 CMOVNBE                        0              178
 103 CMOVNZ                         0              620
 106 CMOVS                          0                1
 107 CMOVZ                          0             1650
 108 CMP                        69475                0
 117 CMPXCHG                       78                0
 122 CMPXCHG_LOCK                  13                0
 125 CPUID                         23                0
 126 CQO                            1                0
 154 DEC                           77                0
 155 DEC_LOCK                       3                0
 156 DIV                         1778                0
 283 IDIV                           1                0
 284 IMUL                        1208                0
 286 INC                            2                0
 309 JB                          5016                0
 310 JBE                         6458                0
 313 JL                          1193                0
 314 JLE                         3169                0
 315 JMP                        13994                0
 317 JNB                         4663                0
 318 JNBE                        7760                0
 319 JNL                          125                0
 320 JNLE                         482                0
 323 JNS                          964                0
 324 JNZ                        39517                0
 325 JO                             3                0
 328 JS                            87                0
 329 JZ                         54263                0
 387 LEA                        29574                0
 388 LEAVE                          5                0
 426 MOV                       190047                0
 428 MOVAPS                       742                0
 430 MOVD                         110                0
 435 MOVDQA                      2944                0
 436 MOVDQU                       435                0
 438 MOVHPD                      2210                0
 439 MOVHPS                       289                0
 441 MOVLPD                      2210                0
 453 MOVQ                         307                0
 463 MOVSX                        325                0
 464 MOVSXD                      5704                0
 466 MOVUPS                       236                0
 467 MOVZX                      26583                0
 471 MUL                            4                0
 479 NEG                          122                0
 481 NOP                         3088                0
 490 NOT                           18                0
 492 OR                          1177                0
 508 PADDD                         62                0
 509 PADDQ                        125                0
 525 PCMPEQB                     4376                0
 526 PCMPEQD                        1                0
 534 PCMPGTD                       31                0
 591 PMINUB                       135                0
 594 PMOVMSKB                    2195                0
 615 POP                        15553                0
 622 POR                          371                0
 633 PSHUFD                       108                0
 640 PSLLD                         31                0
 641 PSLLDQ                       712                0
 642 PSLLQ                         62                0
 648 PSRLDQ                       275                0
 651 PSUBB                       1953                0
 663 PUNPCKHDQ                     31                0
 664 PUNPCKHQDQ                    62                0
 666 PUNPCKLBW                    108                0
 667 PUNPCKLDQ                     31                0
 668 PUNPCKLQDQ                    66                0
 669 PUNPCKLWD                    108                0
 670 PUSH                       17490                0
 677 PXOR                        2572                0
 693 RDTSC                          9                0
 739 RET_NEAR                    6828                0
 742 ROL                          112                0
 743 ROR                           20                0
 755 SAR                         1623                0
 758 SBB                            7                0
 768 SETB                         205                0
 769 SETBE                        281                0
 773 SETNBE                       176                0
 779 SETNZ                       2590                0
 784 SETZ                        1439                0
 794 SHL                         4624                0
 797 SHR                         8495                0
 819 STOSQ                          0             1839
 823 SUB                        14189                0
 830 SYSCALL                      104                0
 844 TEST                       54023                0
 852 TZCNT                        412                0
1135 VMOVD                         49                0
1137 VMOVDQA                        2                0
1140 VMOVDQU                      216                0
1216 VPBROADCASTB                  51                0
1226 VPCMPEQB                     476                0
1372 VPMOVMSKB                    472                0
1416 VPOR                           4                0
1512 VPXOR                        381                0
1593 VZEROUPPER                   430                0
1608 XCHG                         618                0
1610 XGETBV                         1                0
1612 XOR                        11664                0
1617 XRSTOR                        16                0
1623 XSAVEC                        16                0
3000 *total                    713107             4445
3001 *mem-atomic                   19                0
3002 *stack-read                68820                0
3003 *stack-write               54850                0
3004 *iprel-read                 9571                0
3005 *iprel-write                 888                0
3007 *mem-read-1                35378                0
3008 *mem-read-2                 5955                0
3010 *mem-read-4                26679                0
3014 *mem-read-8               107098                0
3022 *mem-read-16                2568                0
3038 *mem-read-32                 478                0
3519 *mem-write-1                2817                0
3520 *mem-write-2                 109                0
3522 *mem-write-4                6479                0
3526 *mem-write-8               58021                0
3534 *mem-write-16               1578                0
3550 *mem-write-32                  8                0
3582 *mem-write-64                 16                0
4094 LAST                          16                0
# $eof
